worker_ID,head width (mm),task,painted,,,,,
SYLC19W23,1.182,PF,N,,,,,
SYLC19W24,1.14,PF,N,,,,,
SYLC19W25,1.31,PF,N,,,,,
,,,,,,,,
SYLC20W2,1.439,HC,Y,aserva,,,,
SYLC20W3,1.513,HC,Y,,,,,
SYLC20W4,1.604,HC,Y,,,,,
SYLC20W5,1.463,HC,Y,,,,,
SYLC20W6,1.526,HC,Y,,,,,
SYLC20W7,1.752,HC,Y,,,,,
SYLC20W8,1.182,HC,Y,,,,,
SYLC20W9,1.333,HC,Y,,,,,
SYLC20W10,1.842,NB,Y,,,,,
SYLC20W11,1.789,NB,N,,,,,
SYLC20W12,1.718,NB,N,,,,,
SYLC20W13,1.712,NB,N,,,,,
SYLC20W14,1.276,NB,N,,,,,
SYLC20W15,1.845,NB,N,,,,,
SYLC20W16,1.868,NB,N,,,,,
SYLC20W17,1.582,NB,N,,,,,
SYLC20W18,1.888,PF,N,,,,,
SYLC20W19,1.867,PF,N,,,,,
SYLC20W20,1.827,PF,N,,,,,
SYLC20W21,1.856,PF,N,,,,,
,,,,,,,,
SYLC21W2,1.079,HC,Y,glacialis,,,,
SYLC21W3,1.061,HC,Y,,,,,
SYLC21W4,1.105,HC,Y,,,,,
SYLC21W5,1.044,HC,Y,,,,,
SYLC21W6,1.221,HC,Y,,,,,
SYLC21W7,1.136,HC,Y,,,,,
SYLC21W8,1.18,HC,Y,,,,,
SYLC21W9,1.08,HC,Y,,,,,
SYLC21W10,1.306,NB,Y,,,,,
SYLC21W11,1.052,NB,N,,,,,
SYLC21W12,1.089,NB,N,,,,,
SYLC21W13,1.327,NB,N,,,,,
SYLC21W14,1.079,NB,N,,,,,
SYLC21W15,1.176,NB,N,,,,,
SYLC21W16,1.073,NB,N,,,,,
SYLC21W17,1.101,NB,N,,,,,
SYLC21W18,1.157,PF,Y,,,,,
SYLC21W19,1.131,PF,Y,,,,,
SYLC21W20,1.127,PF,Y,,,,,
SYLC21W21,1.169,PF,Y,,,,,
SYLC21W22,1.15,PF,Y,,,,,
SYLC21W23,1.128,PF,Y,,,,,
SYLC21W24,1.025,PF,Y,,,,,
SYLC21W25,1.213,PF,N,,,,,
,,,,,,,,
SYLC22W2,1.488,HC,Y,podzolica,,,,
SYLC22W3,1.22,HC,Y,,,,,
SYLC22W4,1.423,HC,Y,,,,,
SYLC22W5,1.416,HC,Y,,,,,
SYLC22W6,1.472,HC,Y,,,,,
SYLC22W7,1.361,HC,Y,,,,,
SYLC22W8,1.414,HC,Y,,,,,
SYLC22W9,1.351,HC,Y,,,,,
SYLC22W10,1.435,NB,N,,,,,
SYLC22W11,1.431,NB,N,,,,,
SYLC22W12,1.5,NB,N,,,,,
SYLC22W13,1.432,NB,N,,,,,
SYLC22W14,1.427,NB,N,,,,,
SYLC22W15,1.445,NB,N,,,,,
SYLC22W16,1.485,NB,N,,,,,
SYLC22W17,1.532,PF,N,,,,,
SYLC22W18,1.404,PF,N,,,,,
SYLC22W19,1.436,PF,N,,,,,
SYLC22W20,1.477,PF,N,,,,,
SYLC22W21,1.567,PF,N,,,,,
SYLC22W22,1.229,PF,N,,,,,
SYLC22W23,1.496,PF,N,,#NAME?,,,
,,,,,,,,
NHIC3W2,1.185,HC,Y,obscuriventris,,,,
NHIC3W3,1.243,HC,Y,,,,,
NHIC3W4,1.229,HC,Y,,,,,
NHIC3W5,1.216,HC,Y,,,,,
NHIC3W6,1.365,HC,Y,,,,,
NHIC3W7,1.38,HC,Y,,,,,
NHIC3W8,1.23,HC,Y,,,,,
NHIC3W9,1.188,HC,Y,,,,,
NHIC3W10,1.934,NB,Y,,,,,
NHIC3W11,1.529,NB,Y,,,,,
NHIC3W12,1.994,NB,Y,,,,,
NHIC3W13,1.582,NB,Y,,,,,
NHIC3W14,1.869,NB,Y,,,,,
NHIC3W15,1.899,NB,Y,,,,,
NHIC3W16,1.803,NB,Y,,,,,
NHIC3W17,1.79,NB,Y,,,,,
NHIC3W18,1.523,PF,N,,,,,
NHIC3W19,1.592,PF,N,,,,,
NHIC3W20,1.413,PF,N,,,,,
NHIC3W21,1.999,PF,N,,,,,
NHIC3W22,1.752,PF,N,,,,,
NHIC3W23,1.625,PF,N,,,,,
NHIC3W24,1.352,PF,N,,,,,
NHIC3W25,1.716,PF,N,,,,,
,,,,,,,,
NHIC8W2,1.219,HC,Y,neoclara,,,,
NHIC8W3,1.186,HC,Y,,,,,
NHIC8W4,1.196,HC,Y,,,,,
NHIC8W5,1.16,HC,Y,,,,,
NHIC8W6,1.183,HC,Y,,,,,
NHIC8W7,1.103,HC,Y,,,,,
NHIC8W8,1.172,HC,Y,,,,,
NHIC8W9,1.128,HC,Y,,,,,
NHIC8W10,1.238,NB,Y,,,,,
NHIC8W11,1.14,NB,N,,,,,
NHIC8W12,1.351,NB,N,,,,,
NHIC8W13,1.373,NB,N,,,,,
NHIC8W14,1.164,NB,N,,,,,
NHIC8W15,1.269,NB,N,,,,,
NHIC8W16,1.257,NB,N,,,,,
NHIC8W17,1.203,NB,N,,,,,
NHIC8W18,1.19,PF,N,,,,,
NHIC8W19,1.227,PF,N,,,,,
NHIC8W20,1.242,PF,N,,,,,
NHIC8W21,1.324,PF,N,,,,,
NHIC8W22,1.253,PF,N,,,,,
NHIC8W23,1.34,PF,N,,,,,
NHIC8W24,1.271,PF,N,,,,,
NHIC8W25,1.317,PF,N,,,,,
,,,,,,,,
KFSC12W2,1.222,HC,N,podzolica,,,,
KFSC12W3,1.312,HC,N,,,,,
KFSC12W4,1.296,HC,N,,,,,
KFSC12W5,1.242,HC,N,,,,,
KFSC12W6,1.234,HC,N,,,,,
KFSC12W7,1.227,HC,N,,,,,
KFSC12W8,1.125,HC,N,,,,,
KFSC12W9,1.372,HC,N,,,,,
KFSC12W10,1.23,NB,N,,,,,
KFSC12W11,1.169,NB,N,,,,,
KFSC12W12,1.162,NB,N,,,,,
KFSC12W13,1.346,NB,N,,,,,
KFSC12W14,1.127,NB,N,,,,,
KFSC12W15,1.336,NB,N,,,,,
KFSC12W16,1.218,NB,N,,,,,
KFSC12W17,1.148,NB,N,,,,,
KFSC12W18,1.443,PF,N,,,,,
KFSC12W19,1.229,PF,N,,,,,
KFSC12W20,1.427,PF,N,,,,,
KFSC12W21,1.296,PF,N,,,,,
KFSC12W22,1.172,PF,N,,,,,
KFSC12W23,1.172,PF,N,,,,,
KFSC12W24,1.147,PF,N,,,,,
KFSC12W25,1.301,PF,N,,,,,
,,,,,,,,
KFSC11W2,1.455,HC,Y,obscuriventris,,,,
KFSC11W3,1.323,HC,Y,,,,,
KFSC11W4,1.521,HC,Y,,,,,
KFSC11W5,1.36,HC,Y,,,,,
KFSC11W6,1.404,HC,Y,,,,,
KFSC11W7,1.327,HC,Y,,,,,
KFSC11W8,1.362,HC,Y,,,,,
KFSC11W9,1.423,HC,Y,,,,,
KFSC11W10,1.599,NB,Y,,,,,
KFSC11W11,1.991,NB,Y,,,,,
KFSC11W12,1.903,NB,Y,,,,,
KFSC11W13,1.508,NB,Y,,,,,
